dataset,n,orig_time_ms,prun_time_ms,time_saved_ms,pruning_ratio_pct,meaningful
teams4,4,0.0334,0.0275,0.0058,25.0,No
teams4a,4,0.0885,0.0211,0.0674,50.0,No
teams4b,4,0.0094,0.0072,0.0022,50.0,No
teams5,5,0.0897,0.1424,-0.0527,8.2,No
teams5b,5,0.0842,0.0612,0.0230,27.3,No
teams5c,5,0.1189,0.0407,0.0782,54.5,No
teams7,7,0.2632,0.2334,0.0298,32.4,No
teams8,8,0.4069,0.1501,0.2569,70.7,No
teams10,10,0.8633,0.6162,0.2472,36.5,No
teams12-allgames,12,0.2507,0.0258,0.2249,93.8,No
teams12,12,1.7886,0.7333,1.0553,55.6,Yes
teams24,24,9.1944,4.6116,4.5828,60.8,Yes
teams29,29,25.0328,12.2697,12.7631,60.1,Yes
teams30,30,28.3027,14.0581,14.2446,57.5,Yes
teams32,32,28.4248,13.4449,14.9799,62.2,Yes
teams36,36,53.8801,23.0768,30.8033,63.2,Yes
teams42,42,73.3661,20.0356,53.3305,79.4,Yes
teams48,48,132.4665,27.7788,104.6876,82.8,Yes
teams54,54,205.7361,39.8526,165.8835,82.6,Yes
teams60,60,227.2112,37.2504,189.9608,85.1,Yes
