dataset,n,orig_edges,prun_edges,edge_reduction,pruning_ratio_pct
teams1,1,0,0,0,0.0
teams4,4,36,27,9,25.0
teams4a,4,36,18,18,50.0
teams4b,4,12,6,6,50.0
teams5,5,110,101,9,8.2
teams5a,5,110,110,0,0.0
teams5b,5,88,64,24,27.3
teams5c,5,88,40,48,54.5
teams7,7,306,207,99,32.4
teams8,8,560,164,396,70.7
teams10,10,1053,669,384,36.5
teams12-allgames,12,352,22,330,93.8
teams12,12,1760,782,978,55.6
teams24,24,11730,4593,7137,60.8
teams29,29,30212,12044,18168,60.1
teams30,30,33669,14325,19344,57.5
teams32,32,35650,13486,22164,62.2
teams36,36,63700,23434,40266,63.2
teams42,42,92537,19052,73485,79.4
teams48,48,148050,25518,122532,82.8
teams50,50,178850,178850,0,0.0
teams54,54,209350,36448,172902,82.6
teams60,60,244024,36268,207756,85.1
