dataset,n,edmonds_karp_ms,edmonds_karp_std_ms,dinic_ms,dinic_std_ms,speedup,result_consistent
teams1.txt,1,0.009194,0.005929,0.003556,0.000985,2.586,True
teams4.txt,4,0.034527,0.011899,0.028986,0.004284,1.191,True
teams4a.txt,4,0.021333,0.002801,0.033903,0.006213,0.629,True
teams4b.txt,4,0.011375,0.002993,0.009806,0.000835,1.160,True
teams5.txt,5,0.101917,0.013889,0.134667,0.081763,0.757,True
teams5a.txt,5,0.106584,0.005522,0.119736,0.051233,0.890,True
teams5b.txt,5,0.065417,0.005554,0.053708,0.002376,1.218,True
teams5c.txt,5,0.039944,0.003592,0.407653,0.636252,0.098,True
teams7.txt,7,0.213014,0.005378,0.146903,0.002511,1.450,True
teams8.txt,8,0.141445,0.004426,0.193806,0.098845,0.730,True
teams10.txt,10,0.914028,0.038177,0.516514,0.117905,1.770,True
teams12-allgames.txt,12,0.125486,0.168131,0.028153,0.000411,4.457,True
teams12.txt,12,1.080083,0.032498,0.605527,0.092651,1.784,True
teams24.txt,24,17.084333,0.279996,3.731639,0.029509,4.578,True
teams29.txt,29,70.957014,0.727377,10.054556,0.219846,7.057,True
teams30.txt,30,87.010958,0.649517,11.219708,0.165121,7.755,True
teams32.txt,32,84.076236,1.096503,11.098264,0.865829,7.576,True
teams36.txt,36,189.048722,15.547440,18.500986,0.402891,10.218,True
teams42.txt,42,112.973139,3.854855,16.457361,0.634598,6.865,True
teams48.txt,48,167.948389,5.704661,22.326208,0.764241,7.522,True
teams50.txt,50,7608.240708,55.927509,136.779444,1.390115,55.624,True
teams54.txt,54,311.886208,1.574157,33.424111,0.935897,9.331,True
teams60.txt,60,329.412125,0.840420,32.259833,0.632222,10.211,True
