dataset,n,build_mode,game_nodes,flow_edges,avg_time_ms
teams1.txt,1,original,0,0,0.006334
teams1.txt,1,pruned,0,0,0.002445
teams4.txt,4,original,9,36,0.033375
teams4.txt,4,pruned,6,27,0.027542
teams4a.txt,4,original,9,36,0.088513
teams4a.txt,4,pruned,3,18,0.021070
teams4b.txt,4,original,3,12,0.009375
teams4b.txt,4,pruned,1,6,0.007222
teams5.txt,5,original,30,110,0.089722
teams5.txt,5,pruned,27,101,0.142389
teams5a.txt,5,original,30,110,0.097931
teams5a.txt,5,pruned,30,110,0.165597
teams5b.txt,5,original,24,88,0.084208
teams5b.txt,5,pruned,16,64,0.061180
teams5c.txt,5,original,24,88,0.118903
teams5c.txt,5,pruned,8,40,0.040708
teams7.txt,7,original,90,306,0.263194
teams7.txt,7,pruned,57,207,0.233375
teams8.txt,8,original,168,560,0.406944
teams8.txt,8,pruned,36,164,0.150056
teams10.txt,10,original,324,1053,0.863333
teams10.txt,10,pruned,196,669,0.616153
teams12-allgames.txt,12,original,110,352,0.250667
teams12-allgames.txt,12,pruned,0,22,0.025764
teams12.txt,12,original,550,1760,1.788583
teams12.txt,12,pruned,224,782,0.733278
teams24.txt,24,original,3795,11730,9.194444
teams24.txt,24,pruned,1416,4593,4.611597
teams29.txt,29,original,9828,30212,25.032833
teams29.txt,29,pruned,3772,12044,12.269694
teams30.txt,30,original,10962,33669,28.302653
teams30.txt,30,pruned,4514,14325,14.058097
teams32.txt,32,original,11625,35650,28.424847
teams32.txt,32,pruned,4237,13486,13.444944
teams36.txt,36,original,20825,63700,53.880097
teams36.txt,36,pruned,7403,23434,23.076750
teams42.txt,42,original,30340,92537,73.366083
teams42.txt,42,pruned,5845,19052,20.035583
teams48.txt,48,original,48645,148050,132.466458
teams48.txt,48,pruned,7801,25518,27.778847
teams50.txt,50,original,58800,178850,191.742556
teams50.txt,50,pruned,58800,178850,193.604930
teams54.txt,54,original,68900,209350,205.736111
teams54.txt,54,pruned,11266,36448,39.852625
teams60.txt,60,original,80417,244024,227.211167
teams60.txt,60,pruned,11165,36268,37.250389
